"Region","Major RGI region","Mountain range region","Country","Glacier","RGI glacier ID","RGI glacier Area","Lake name","Lake type","Longitude","Latitude","River","Date","Min. date","Max. date","Outburst mechanism","Mean lake volume","Min. lake volume","Max. lake volume","Lake volume determination method","Mean flood volume","Min. flood volume","Max. flood volume","Flood volume determination method","Peak discharge","Min. peak discharge","Max. peak discharge","Peak discharge determination method","Impact and destruction","Reported impacts (categorized)","Occurrence of economic losses","Damage to buildings","Damage to bridges","Damage to roads or paths","Damage to railroads","Damage to utilities","Damage to flood protection measures","Damage to the environment","Resettlement","Reported fatalities","Further comments","Year of First Reference Found","References","Reference comments","Lake area before","Perimeter before","Image date before","Satellite before","Scenename before","Certainty level before","Lake area after","Image date after","Perimeter after","Satellite after","Scenename after","Certainty level after","Lake area comments"
"Andes","Low Latitudes","Low-latitude Andes","Peru","RGI60-16.02480","RGI60-16.02480","4.519","Rajururi","moraine","-77.681111","-9.06277799999999","","1725-01-06","","","breach","","","","","","","","","","","","","","","","","","","","","","","","","earthquake triggered","1942","Broggi, J. A. (1942). Informe preliminar sobre la exploracion y estudio de las condiciones de estabilidad de las lagunas de la Cordillera Blanca. ELECTROPERU SA, Lima (Peru). & Lliboutry, L., Arnao, B. M., Pautre, A., & Schneider, B. (1977). Glaciological problems set by the control of dangerous lakes in Cordillera Blanca, Peru. I. Historical failures of morainic dams, their causes and prevention. Journal of Glaciology, 18(79), 239-254. & O'Connor, J. E., Hardison, J. H., & Costa, J. E. (2001). Debris flows from failures of Neoglacial-age moraine dams in the Three Sisters and Mount Jefferson Wilderness areas, Oregon (No. 1606). US Department of the Interior, US Geological Survey. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.","","","","","","","","","","","","","",""
"Andes","Southern Andes","C Andes","Argentina","Gl. Grande del Nevado del Plomo","RGI60-17.14046","10.921","","ice","-69.98","-33.1199999999999","Plomo","1788-01-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1986","Prieto, M. del R. (1986). The glacier dam on the Rio Plomo: a cyclic phenomenon?. Zeitschrift für Gletscherkunde und Glazialgeologie, 22(1), 73-78. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.","","","","","","","","","","","","","",""
"Andes","Southern Andes","C Andes","Chile","Gl. Cachapoal","RGI60-17.13403","19.191","","ice","-70.08","-34.3699999999999","","1847-12-31","","","","","","","","1.75","1.5","2","unknown","150","","","unknown","An undetermined number of fatalities and damages in infrastructure and farm settlements were reported. The most damaged village was El Olivar","x","x","","","","","","","","","x","","1887","Plagemann, A. (1887). Das andine Stromgebiet des Cachapoal. Petermanns Geogr. Mitteilungen. Heft III, Gotha, 65-82. & Urrutia, R., & Lanza, L. (1993). Catástrofes en Chile 1541-1992. In Catástrofes en Chile 1541-1992. La Noria. & Peña, H., Klohn, W. (1989). Non-meteorological flood disasters in Chile. In Hydrology of Disasters, Starosolszky O, Melder OM (eds). James & James: London; 243–258. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1881","","","subglacial","","","","","265","265","","estimated – lichenometry","","","","","","","","","","","","","","","","","","2000","Winchester, V., & Harrison, S. (2000). Dendrochronology and lichenometry: colonization, growth rates and dating of geomorphological events on the east side of the North Patagonian Icefield, Chile. Geomorphology, 34(3-4), 181-194.","","","","","","","","","","","","","",""
"Andes","Low Latitudes","Low-latitude Andes","Peru","RGI60-16.02264","RGI60-16.02264","8.356","Rajucolta","moraine","-77.342892","-9.523094","","1883-06-24","","","breach","","","","","","","","","","","","","","","","","","","","","","","","","partial drainage","1966","Morales, B. (1966). Estudio de las lagunas Rajucolta y Cashan. Corporación Peruana del Santa, división de geología y seguridad de lagunas, Lima. & Zapata L, M. (2002). La dinamica glaciar en lagunas de la Cordillera Blanca. Acta Montana, 123, 37-60. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","","1896","1897","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","2000","Winchester, V., & Harrison, S. (2000). Dendrochronology and lichenometry: colonization, growth rates and dating of geomorphological events on the east side of the North Patagonian Icefield, Chile. Geomorphology, 34(3-4), 181-194.","","","","","","","","","","","","","",""
"Andes","Southern Andes","C Andes","Argentina","Gl. Grande del Nevado del Plomo","RGI60-17.14046","10.921","","ice","-69.98","-33.1199999999999","Plomo","1900","","","","","","","","","","","","2000","","","estimated","","","","","","","","","","","","","","1985","Prieto, M. (1985). Un Fenomeno Ciclico? Hubo otros Endicamientos en el Rio dei Plomo? Diario Los Andes, Mendoza, Argentina. CITED IN Fernández, P. C., Fornero, L., Maza, J., & Yañez, H. (1991). Simulation of flood waves from outburst of glacier-dammed lake. Journal of Hydraulic Engineering, 117(1), 42-53.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Argentina","Glaciar Piedras Blancas","RGI60-17.05091","6.068","","moraine","-72.968","-49.2629999999999","Río Blanco","1913-12-16","","","","","","","","","","","","","","","","Event occurred far from populated areas, no damage reported","","","","","","","","","","","","","1956","Lliboutry, L. (1956). Nieves y glaciares: fundamentos de glaciología. Ediciones Universidad de Chile. Santiago. 471p. & Masiokas, M. H., Rivera, A., Espizua, L. E., Villalba, R., Delgado, S., & Aravena, J. C. (2009). Glacier fluctuations in extratropical South America during the past 1000 years. Palaeogeography, Palaeoclimatology, Palaeoecology, 281(3-4), 242-268. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","","1914","1917","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","2000","Winchester, V., & Harrison, S. (2000). Dendrochronology and lichenometry: colonization, growth rates and dating of geomorphological events on the east side of the North Patagonian Icefield, Chile. Geomorphology, 34(3-4), 181-194.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Argentina","Gl. Perito Moreno","RGI60-17.00312","263.322","Lago Argentino","ice","-72.98","-50.5","Santa Cruz","1917-01","","","tunneling and collapse","","","","","","","","","","","","","","","","","","","","","","","","","","1994","Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1920","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1921","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1922","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1923","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1924","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
"Andes","Southern Andes","Patagonia","Chile","Colonia Glacier","RGI60-17.15859","287.961","Lago Arco","ice","-73.256578","-47.28773","Río Baker","1925","","","subglacial","","","","","","","","","","","","","","","","","","","","","","","","","","1980","Tanaka, K. (1980). Geographical Contribution to a Periglacial Study of the Hielo Patagónicao Norte with Special Reference to the Glacial Outburst Originated from Glacier-dammed Lago Arco, Chilean Patagonia.","","","","","","","","","","","","","",""
